"ID","PRIORITY","MESSAGE_TAG","TEXT"
1,1,M421a,"Your patient has been prescribed [medication] for [medication_duration] days, starting on [medication_start_date].  [Gender_pronoun] is currently taking [dose] mgs of the medication each day and has been on this dose for [dose_duration] days.  [Gender_pronoun] has had an adequate medication trial (AMT) for [medication] based on the dose or blood level of the medication and the duration of treatment."
2,1,M421b,"Your patient has been prescribed  [medication] for [medication_duration] days, starting on [medication_start_date].  [Gender_pronoun]  is currently taking  [dose]  mgs of the medication each day and has been on this dose for  [dose_duration]  days.  [Gender_pronoun]  has not had an adequate medication trial (AMT) for  [medication] based on the dose or blood level of the medication and the duration of treatment."
3,1,M420a,Your patient has been prescribed  [medication]  which requires periodic blood level determinations to verify that the medication is in the effective dose range for treatment.  The most recent blood level determination for  [medication]  was on [blood_level_date].  This value will be used in subsequent analyses unless you enter a more recent blood level for  [medication]  into MiMQIP.
4,1,M420b,"Your patient has been prescribed  [medication]  which requires periodic blood level determinations to verify that the medication is in the effective dose range for treatment.  Your patient does not have a blood level determination for  [medication]  in MQIP so the analysis of your patient's adequate medication trial with   [medication]  will be based on the prescribed dose of the medication.  This is a considerably less reliable way of determining whether the patient is receiving an adequate dose of the medication.  If you have a recent [medication]  blood level for you patient please enter it into MQIP.  If not, consider ordering a blood level determination for the medication."
5,1,M101,Your patient's medications are fully consistent with the guidelines for the patient's current diagnosis and stage of treatment.
6,1,M102,Your patient's medications are not consistent with the guidelines for the patient's current diagnosis and stage of treatment because the medications that have been prescribed are inconsistent with the guideline recommendations or no medications have yet been prescribed.
7,1,M103,Your patient's medications are fully consistent with a treatment stage below the patient's current stage of treatment for this diagnosis.
8,1,M104,Your patient's medications are fully consistent with a treatment stage above the patient's current stage of treatment for this diagnosis.
9,1,M105,Your patient's medications contain one or more drugs that are only recommended at a stage higher than the patient's current stage of treatment
10,1,M106,Your patient's medications contain one or more additional psychiatric medications beyond those recommended for the patient's current stage of treatment.
76,1,M110,"Your patient has a prior history of BPD(D) and was presumably prescribed lamotrigine in response to that episode.  The lamotrigine was continued when your patient's diagnosis was changed to the current diagnosis of BPD(M).  Lamotrigine is not a medication that is consistent with any of the guideline stages in the treatment of BPD(M) because it has limited demonstrated effectiveness in the treatment of a manic episode.  There is evidence, however, that lamotrigine may be effective as a prophylactic treatment for recurrent BPD(D).  Therefore, some clinicians might consider it an adjunctive medication in the treatment of BPD(M) for patients who have had a previous episode of BPD(D).  If you choose to prescribe lamotrigine for this reason you might find the discussion on lamotrigine in the VA guidelines on the Management of Bipolar Disorder in Adults helpful. <br/><br/><a href=""http://www.healthquality.va.gov/Management_of_Bi.asp"" target=""_blank"">http://www.healthquality.va.gov/Management_of_Bi.asp</a>"
