"ID","TREATMENT_GROUP_ID","NAME","ABBREVIATION","VALID","GENERIC_NAME","AMT_GRACE_PERIOD","AMT_DOSE_RANGE","AMT_RESPONSE_TIME","ADMINISTRATION_MECHANISM","ALT_NAME_PATTERN","DAILY_HIGH_DOSE","DAILY_LOW_DOSE","DISPLAY_NAME","DRUG_FUNCTION","DURATION_OF_ACTION","FORMULATION_PATTERN","GENERIC_NAME_PATTERN","GUIDELINE_CHART_NAME","LAB_NAME_PATTERN","LONG_ACTING","LONG_ACTING_FREQUENCY","MAX_DOSE","MDD_DAILY_HIGH_DOSE","MDD_DAILY_LOW_DOSE","MDD_START_DOSE","RESPONSE_TIME","SERUM_LEVEL_HIGH","SERUM_LEVEL_LOW","SERUM_LEVEL_UNIT","START_DOSE","UNIT"
"18","12","Desvenlafaxine","Desvenlafaxine","TRUE","desvenlafaxine","7.0","50.0","50.0","ORAL","","50.0","50.0","desvenlafaxine (Ext Rel24)","ANTIDEPRESSANT","1.0","","desvenlafaxine","desvenlafaxine","","FALSE","0.0","50.0","0.0","0.0","0.0","42.0","0.0","0.0",,"50.0","MG"
"19","10","Citalopram","Citalopram","TRUE","citalopram","7.0","50.0","50.0","ORAL","","40.0","20.0","citalopram","ANTIDEPRESSANT","1.0","","citalopram","citalopram","","FALSE","0.0","40.0","0.0","0.0","0.0","42.0","0.0","0.0",,"20.0","MG"
"20","10","Escitalopram","Escitalopram","TRUE","escitalopram","7.0","50.0","50.0","ORAL","","20.0","10.0","escitalopram","ANTIDEPRESSANT","1.0","","escitalopram","escitalopram","","FALSE","0.0","20.0","0.0","0.0","0.0","42.0","0.0","0.0",,"10.0","MG"
"21","10","Fluoxetine","Fluoxetine","TRUE","fluoxetine","7.0","50.0","50.0","ORAL","","60.0","20.0","fluoxetine","ANTIDEPRESSANT","1.0","","fluoxetine","fluoxetine","","FALSE","0.0","80.0","0.0","0.0","0.0","42.0","0.0","0.0",,"20.0","MG"
"22","10","Fluvoxamine","Fluvoxamine","TRUE","fluvoxamine","7.0","50.0","50.0","ORAL","","300.0","100.0","fluvoxamine","ANTIDEPRESSANT","1.0","","fluvoxamine","fluvoxamine","","FALSE","0.0","300.0","0.0","0.0","0.0","42.0","0.0","0.0",,"50.0","MG"
"23","10","Paroxetine","Paroxetine","TRUE","paroxetine","7.0","50.0","50.0","ORAL","","50.0","20.0","paroxetine hcl","ANTIDEPRESSANT","1.0","","paroxetine hcl","paroxetine","","FALSE","0.0","50.0","0.0","0.0","0.0","42.0","0.0","0.0",,"20.0","MG"
"24","10","Sertraline","Sertraline","TRUE","sertraline","7.0","50.0","50.0","ORAL","","200.0","50.0","sertraline","ANTIDEPRESSANT","1.0","","sertraline","sertraline","","FALSE","0.0","200.0","0.0","0.0","0.0","42.0","0.0","0.0",,"50.0","MG"
"25","12","Duloxetine","Duloxetine","TRUE","duloxetine","7.0","50.0","50.0","ORAL","","120.0","60.0","duloxetine (Del Rel EC)","ANTIDEPRESSANT","1.0","","duloxetine","duloxetine","","FALSE","0.0","60.0","0.0","0.0","0.0","42.0","0.0","0.0",,"40.0","MG"
"26","12","Venlafaxine","Venlafaxine","TRUE","venlafaxine","7.0","50.0","50.0","ORAL","","350.0","75.0","venlafaxine","ANTIDEPRESSANT","1.0","","venlafaxine","venlafaxine","","FALSE","0.0","375.0","0.0","0.0","0.0","42.0","0.0","0.0",,"75.0","MG"
"27","13","Chlorpromazine","Chlorpromazine","TRUE","chlorpromazine","7.0","50.0","50.0","ORAL","","500.0","75.0","chlorpromazine","ANTIPSYCHOTIC","1.0","","chlorpromazine","chlorpromazine","","FALSE","0.0","1000.0","0.0","0.0","0.0","28.0","0.0","0.0",,"30.0","MG"
